Article,Category,"Name English","Description English","Name French","Description French","Name Dutch","Description Dutch",Status,"Purchase price",Price,"Old price","Tax rate",Units,Inventory,Weight,"EAN code",Condition,Home,"Web address"
"Sheepskin 20 kg",Adult,"Sheepskin 20kg.      8,50 €/kg","Peau de Mouton 20kg.      8,50 €/kg","Schapenvacht 20kg.      8,50 €/kg","Sheepskin good quality for shop.<div>Can be available to ship or pick up three working days after receiving payment.</div><div>The bag is 20 kg. so the purchase per bag of 20 kg.&nbsp;</div><div>Price is 8,50 €/kg.</div>","Peau de Mouton de bonne qualité pour le magasin.<div>Peut être disponible pour être expédié ou ramassé trois jours ouvrables après réception du paiement.</div><div>Le sac est de 20 kg. donc l'achat par sac de 20 kg.&nbsp;</div><div>Le prix est de 8,50 €/kg.</div>","Schapenvacht van goede kwaliteit voor winkel.<div>Kan beschikbaar voor verzendig of afhaling een drie werkdagen na ontvangst van betaling.</div><div>De zak is 20 kg. dus de aankoop per zak van 20 kg. &nbsp;</div><div>Prijs is 8,50 €/KG.</div>",Available,0,170.00,220.00,21,,2,20,,Used,No,sorted-items/schapenleer-20-kg
"Winter night wear 20 kg",Adult,"Winter night wear 20kg.      3,60 €/kg","Vêtements de nuit d'hiver 20kg.      3,60 €/kg","Winter nachtkleding 20kg.      3,60 €/kg","Winter adult nightwear good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 20 kg. so the purchase per bag of 20 kg.&nbsp;</div><div>Price is 3,60 €/kg.<br /><div><br /></div></div>","Vêtements de nuit d'hiver de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 20 kg. donc l'achat par sac de 20 kg.&nbsp;</div><div>Le prix est de 3,60 €/kg.</div>","Winter nachtkleding van goede kwaliteit voor winkel met creme kwaliteit.<br /><div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 20 kg. dus de aankoop per zak van 20 kg. &nbsp;</div><div>Prijs is 3,60 €/KG.</div>",Available,0,72.00,,21,,7,20,,Used,No,men-clothing/31
"Winter slippers 25 kg","Separated boots","Winter slippers 25kg.      2,36 €/kg","Pantouffles d'hiver 25kg.      2,36 €/kg","winter pantoffels 25kg.      2,36 €/kg","<div>Mix winter slippers for men, ladies and kids.</div><div>Good quality for shop with cream quality.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 2,36 €/kg.</div>","<div>Pantoufles d'hiver mélangent les hommes, les dames et les enfants.</div><div>De bonne qualité pour le magasin avec qualité crème.</div><div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 2,36 €/kg.</div>","<div>Mix winterpantoffels voor heren, dames en kinderen.</div><div>Van goede kwaliteit voor winkel met creme kwaliteit.</div><div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 2,36 €/KG.</div>",Available,0,59.00,80.00,21,,50,25,,Used,No,sorted-items/winter-slippers
"Youth anorak & jackets 25 kg","Children's clothing","Youth anorak & jackets 25kg. 4,40 €/kg","Anorak et vestes pour jeunes 25kg. 4,40 €/kg","Jassen voor jeugd 25kg. 4,40 €/kg","This article contains various jackets and anoraks for youth. (+12 years until size Small)&nbsp;<div>They are all different sizes and models.</div><div>Available to ship or pick up, usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 4,40 €/kg.</div>","Cet article contient diverses vestes et anoraks pour les jeunes. (+12 ans jusqu'à la taille Small)<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour expédier ou ramasser, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 4,40 €/kg.</div>","Dit artikel bevat verschillende jassen en mantels voor jongeren. (+12 jaar tot maat Small)<div>Ze zijn allemaal verschillende maten en modellen.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 4,40 €/kg.</div>",Available,0,110.00,,21,,5,25,,Used,No,kids/young-teenagers-anorak-at-jackets
"Youth jogging 25 kg","Children's clothing","Youth jogging 25kg. 4,60 €/kg","Jogging pour jeunes 25kg. 4,60 €/kg","Jogging voor jeugd 25kg. 4,60 €/kg","This article contains jogging pants, hoodies, bathrobe, winter nightwear for youth. (+12 years until size Small)&nbsp;<div>They are all different sizes and models.</div><div>Available to ship or pick up, usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 4,60 €/kg.</div>","Cet article contient des pantalons de jogging, des sweats à capuche, des peignoirs et des vêtements de nuit d'hiver pour les jeunes. (+12 ans jusqu'à la taille Small)<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour expédier ou ramasser, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 4,60 €/kg.</div>","Dit artikel bevat joggingbroeken, sweaters met kap, badjassen, winter nachtkleding voor de jeugd. (+12 jaar tot maat Small)<div>Ze zijn allemaal verschillende maten en modellen.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 4,60<span style=\"font-size: 1em;\">&nbsp;€/kg.</span></div>",Available,0,115.00,,21,,2,25,,Used,No,children-s-clothing/youth-jogging
"unsorted shoes original 2,15 €/kg","Pre-sorted mixed","Unsorted shoes original","Chaussures non trié original","Ongesorteerde schoenen origineel","<div><span style=\"font-size: 1em;\">The unsorted original shoes with cream is collected (paired) from UK Cash4Clothes goods.</span></div><div><span style=\"font-size: 1em;\">100% of the product is suitable for appraisal and in-store sales.</span></div><div><span style=\"font-size: 1em;\">Before packaging the goods, we do a quick check to secure the item.</span></div><div><span style=\"font-size: 1em;\">These items are very good for clients who has different shops or market with high &amp; low quality grades.</span><br /></div><div>Can be available to ship or pick up the same day after receiving payment.<span style=\"font-size: 1em;\">&nbsp;</span></div><div>Price is 2,15 €/kg.</div>","<div><span style=\"font-size: 1em;\">Les chaussures non triés et assortis (jumelé) avec de la crème proviennent des produits UK Cash4Clothes.</span></div><div><span style=\"font-size: 1em;\">100% du produit est adapté à l'évaluation et à la vente en magasin.</span></div><div><span style=\"font-size: 1em;\">Avant d’emballer les marchandises, nous effectuons un contrôle rapide pour sécuriser l’article.</span></div><div><span style=\"font-size: 1em;\">Ce articles sont très bons pour les clients qui ont différents magasins ou marchés avec des qualités de haute et basse qualité.</span><br /></div><div>Peut être disponible pour être expédié ou ramassé le même jours ouvrables après réception du paiement.</div><div>Le prix est de 2,15 €/kg.</div>","<div><span style=\"font-size: 1em;\">De ongesorteerde originele schoenen met crème wordt verzameld (per paar) uit UK Cash4Clothes goederen.</span></div><div><span style=\"font-size: 1em;\">100% van het product is geschikt voor taxatie en verkoop in de winkel.</span></div><div><span style=\"font-size: 1em;\">Voordat we de goederen verpakken, doen we een snelle controle om het artikel te beveiligen. Deze artikelen zijn zeer goed voor klanten met verschillende winkels of markten met hoge en minder hoge kwaliteitsklassen.</span><br /></div><div>Kan beschikbaar voor verzendig of afhaling dezelfde werkdag na ontvangst van betaling.</div><div>Prijs is 2,15 €/KG.</div>",Available,0,2.15,1.50,21,,3500,1,,Used,No,pre-sorted-mixed/unsorted-shoes-original
"Big sizes ladies shirts 25 kg",Ladies,"Big sizes ladies shirts 25kg.  4,20 €/kg","Chemises femme grandes tailles 25kg.  4,20 €/kg","Dames hemden grote maten 25kg.  4,20 €/kg","<div><span style=\"font-size: 1em;\">This article contains various big sizes shirts for women. (cream &amp; first quality)</span><br /></div><div>They are all different models.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 4,20 €/kg.</div>","<div><span style=\"font-size: 1em;\">Cet article contient différentes chemises grandes tailles pour homme et femme. (qualité crème et premier)</span><br /></div><div>Ce sont tous des modèles différents.</div><div>Peut être disponible pour expédier ou ramasser généralement le même jour après réception du paiement.</div><div>Le sac fait 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 4,20 €/kg.</div>","<div><span style=\"font-size: 1em;\">Dit artikel bevat verschillende grote maten overhemden voor dames. (eerste keuze kwaliteit met creme)</span><br /></div><div>Het zijn allemaal verschillende modellen.</div><div>Kan beschikbaar zijn voor verzending of ophalen meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 4,20 €/kg.</div>",Available,0,105,,21,,1,25,,Used,No,ladies/big-sizes-ladies-shirts-25kg-4-20-eur/kg
"Men winter shoes 25 kg","Men shoes","Men winter shoes 25kg.      3,96 €/kg","Chaussures d'hiver pour hommes 25kg.      3,96 €/kg","Heren winter schoenen 25kg.      3,96 €/kg","Men winter shoes good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 3,96 €/kg.</div>","Chaussures d'hiver pour hommes de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 3,96 €/kg.</div>","Heren winter schoenen van goede kwaliteit voor winkel met creme kwaliteit.<div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 3,72 €/KG.</div>",Available,0,99.00,150,21,,37,25,,Used,No,men-shoes/men-winter-shoes
"Men polo long sleeves 25 kg","Men clothing","Men's polo long sleeves 25kg.      3,52 €/kg","Polo homme manches longues 25kg.      3,52 €/kg","Heren polo lange mouwen 25kg.      3,52 €/kg","Men's polo long sleeves good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 3,52 €/kg.</div>","Polo homme manches longues de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 3,52 €/kg.</div>","Heren polo lange mouwen van goede kwaliteit voor winkel met creme kwaliteit.<br /><div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 3,52 €/KG.</div>",Available,0,88.00,123.75,21,,11,25,,Used,No,men-polo-long-sleeves
"Toys 15 kg",Accessories,"Toys 15kg.      1,40 €/kg","jouets 15kg.      1,40 €/kg","Speelgoed 15kg.      1,40 €/kg","Toys good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 1,40 €/kg.</div>","jouets de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 1,40 €/kg.</div>","Speelgoed van goede kwaliteit voor winkel met creme kwaliteit.<br /><div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 1,40 €/KG.</div>",Available,0,21.00,2.25,21,,43,15,,Used,No,accessories/toys-1-75-eur/kg
"Big sizes men's t-shirts 25 kg",Men,"Big sizes men's t-shirts 25kg.  3,00 €/kg","T-shirts homme grandes tailles 25kg. 3,00 €/kg","Mannen t-shirts grote maten 25kg.  3,00 €/kg","<div><iframe width=\"640\" height=\"480\" src=\"//www.youtube.com/embed/nJALCeu6CP0\" frameborder=\"0\" allowfullscreen=\"\"></iframe><br /></div>This article contains various big sizes t-shirts for man. (cream &amp; first quality)<div>They are all different models.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 3,00 €/kg.</div>","<div><iframe width=\"640\" height=\"480\" src=\"//www.youtube.com/embed/nJALCeu6CP0\" frameborder=\"0\" allowfullscreen=\"\"></iframe><br /></div>Cet article contient différents t-shirts grandes tailles pour homme. (qualité crème et premier)<div>Ce sont tous des modèles différents.</div><div>Peut être disponible pour expédier ou ramasser généralement le même jour après réception du paiement.</div><div>Le sac fait 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 3,00 €/kg.</div>","<div><iframe width=\"640\" height=\"480\" src=\"//www.youtube.com/embed/nJALCeu6CP0\" frameborder=\"0\" allowfullscreen=\"\"></iframe><br /></div>Dit artikel bevat verschillende grote maten t-shirts voor mannen. (eerste keuze kwaliteit met creme)<div>Het zijn allemaal verschillende modellen.</div><div>Kan beschikbaar zijn voor verzending of ophalen meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 3,00 €/kg.</div>",Available,0,75.00,106.25,21,,7,25,,Used,No,men/big-sizes-men-s-t-shirts-25kg-3-00-eur/kg
"Big sizes shirts 25 kg",Adult,"Big sizes adult shirts 25kg.  2,80 €/kg","Chemises adult grandes tailles 25kg.  2,80 €/kg","Volwassenen hemden grote maten 25kg.  2,80 €/kg","This article contains various big sizes shirts for man and women. (cream &amp; first quality)<div>They are all different models.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 2,80 €/kg.</div>","Cet article contient différentes chemises grandes tailles pour homme et femme. (qualité crème et premier)<div>Ce sont tous des modèles différents.</div><div>Peut être disponible pour expédier ou ramasser généralement le même jour après réception du paiement.</div><div>Le sac fait 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 2,80 €/kg.</div>","Dit artikel bevat verschillende grote maten overhemden voor dames en heren. (eerste keuze kwaliteit met creme)<div>Het zijn allemaal verschillende modellen.</div><div>Kan beschikbaar zijn voor verzending of ophalen meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 2,80 €/kg.</div>",Available,0,70,87.5,21,,2,25,,Used,No,adult/big-sizes-adult-shirts-25kg-2-80-eur/kg
"Big sizes t-shirts 25 kg",Adult,"Big sizes adult t-shirts 25kg.  2,50 €/kg","T-shirts adult grandes tailles 25kg. 2,50 €/kg","Volwassenen t-shirts grote maten 25kg.  2,50 €/kg","<h2><b><span style=\"color: #ff0f00;\">Free shipping ONLY EU COUNTRIES!</span></b></h2>This article contains various big sizes t-shirts for man and women. (cream &amp; first quality)<div>They are all different models.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 2,50 €/kg.</div>","<h2><b><span style=\"color: #ff0f00;\">Livraison gratuite UNIQUEMENT DANS LES PAYS DE L'UE!</span></b></h2>Cet article contient différents t-shirts grandes tailles pour homme et femme. (qualité crème et premier)<div>Ce sont tous des modèles différents.</div><div>Peut être disponible pour expédier ou ramasser généralement le même jour après réception du paiement.</div><div>Le sac fait 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 2,50 €/kg.</div>","<h2><span style=\"color: #ff0f00;\"><b>Gratis verzending ENKEL EU LANDEN!</b></span></h2>Dit artikel bevat verschillende grote maten t-shirts voor mannen en vrouwen. (eerste keuze kwaliteit met creme)<div>Het zijn allemaal verschillende modellen.</div><div>Kan beschikbaar zijn voor verzending of ophalen meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 2,50 €/kg.</div>",Available,0,62.50,81.25,21,,3,25,,Used,Yes,adult/big-sizes-adult-t-shirts-25kg-2-50-eur/kg
"Men trenchcoat 25 kg",Men,"Men trenchcoats 25 kg. 3,80 €/kg","trenchcoat pour homme 25 kg. 3,80 €/kg","Heren trenchcoat 25 kg. 3,80 €/kg","This article contains different trenchcoats for men.<div>They are all different sizes and models.</div><div>Available to ship or pick up, usually the same day after receipt of payment.</div><div>The bag is 25 kg. so the purchase per 25 kg bag.</div><div>Price is 3,80 €/kg.</div>","Cet article contient différents trenchcotes pour hommes.<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour expédition ou ramassage, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 3,80 €/kg.</div>","Dit artikel bevat verschillende trenchcoats voor heren.&nbsp;<div>Het zijn allemaal verschillende maten en modellen.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 3,80 €/kg.</div>",Available,0,95.00,110.00,21,,2,25,,Used,No,men/men-trenchcoats
